   4    4  0.41874E-02 -0.42557E-02
  12    4  0.13011E-01 -0.47167E-02
  20    4  0.23252E-01 -0.57122E-02
  28    4  0.36110E-01 -0.74163E-02
  36    4  0.53268E-01 -0.10175E-01
  44    4  0.77354E-01 -0.14682E-01
  52    4  0.11295     -0.22475E-01
  60    4  0.16914     -0.37559E-01
  68    4  0.26738     -0.73962E-01
  76    4  0.46196     -0.21700    
  84    4  0.39059     -0.71076    
  92    4  0.48408E-01 -0.84846    
 100    4 -0.21469     -0.87080    
 108    4 -0.47701     -0.84925    
 116    4 -0.81680     -0.71236    
 124    4 -0.88413     -0.21945    
 132    4 -0.68376     -0.77319E-01
 140    4 -0.57786     -0.41885E-01
 148    4 -0.51200     -0.27840E-01
 156    4 -0.46460     -0.21154E-01
 164    4 -0.42643     -0.17809E-01
 172    4 -0.39283     -0.16247E-01
 180    4 -0.36113     -0.15737E-01
 188    4 -0.32971     -0.15884E-01
 196    4 -0.29751     -0.16443E-01
 204    4 -0.26392     -0.17246E-01
 212    4 -0.22857     -0.18168E-01
 220    4 -0.19134     -0.19106E-01
 228    4 -0.15228     -0.19973E-01
 236    4 -0.11162     -0.20700E-01
 244    4 -0.69687E-01 -0.21230E-01
 252    4 -0.26926E-01 -0.21522E-01
   4   12  0.38522E-02 -0.12421E-01
  12   12  0.11941E-01 -0.13736E-01
  20   12  0.21233E-01 -0.16563E-01
  28   12  0.32699E-01 -0.21360E-01
  36   12  0.47605E-01 -0.29011E-01
  44   12  0.67707E-01 -0.41206E-01
  52   12  0.95471E-01 -0.61351E-01
  60   12  0.13396     -0.96909E-01
  68   12  0.18350     -0.16535    
  76   12  0.21941     -0.30033    
  84   12  0.15289     -0.48819    
  92   12 -0.18748E-01 -0.60981    
 100   12 -0.21204     -0.64560    
 108   12 -0.40456     -0.61218    
 116   12 -0.57386     -0.49297    
 124   12 -0.63641     -0.30765    
 132   12 -0.59481     -0.17537    
 140   12 -0.53774     -0.10981    
 148   12 -0.48975     -0.77357E-01
 156   12 -0.45037     -0.60519E-01
 164   12 -0.41640     -0.51803E-01
 172   12 -0.38528     -0.47737E-01
 180   12 -0.35520     -0.46528E-01
 188   12 -0.32493     -0.47144E-01
 196   12 -0.29363     -0.48924E-01
 204   12 -0.26076     -0.51401E-01
 212   12 -0.22604     -0.54211E-01
 220   12 -0.18935     -0.57056E-01
 228   12 -0.15079     -0.59685E-01
 236   12 -0.11057     -0.61885E-01
 244   12 -0.69056E-01 -0.63488E-01
 252   12 -0.26686E-01 -0.64372E-01
   4   20  0.32390E-02 -0.19609E-01
  12   20  0.99927E-02 -0.21595E-01
  20   20  0.17590E-01 -0.25830E-01
  28   20  0.26642E-01 -0.32906E-01
  36   20  0.37811E-01 -0.43909E-01
  44   20  0.51719E-01 -0.60734E-01
  52   20  0.68587E-01 -0.86673E-01
  60   20  0.86975E-01 -0.12728    
  68   20  0.10019     -0.19055    
  76   20  0.89960E-01 -0.28100    
  84   20  0.31300E-01 -0.38177    
  92   20 -0.76140E-01 -0.45605    
 100   20 -0.20684     -0.48309    
 108   20 -0.33680     -0.45994    
 116   20 -0.44198     -0.38964    
 124   20 -0.49682     -0.29305    
 132   20 -0.50157     -0.20704    
 140   20 -0.48109     -0.14854    
 148   20 -0.45353     -0.11305    
 156   20 -0.42542     -0.92586E-01
 164   20 -0.39807     -0.81527E-01
 172   20 -0.37115     -0.76484E-01
 180   20 -0.34394     -0.75399E-01
 188   20 -0.31579     -0.76954E-01
 196   20 -0.28617     -0.80239E-01
 204   20 -0.25470     -0.84569E-01
 212   20 -0.22118     -0.89394E-01
 220   20 -0.18556     -0.94242E-01
 228   20 -0.14795     -0.98708E-01
 236   20 -0.10859     -0.10244    
 244   20 -0.67859E-01 -0.10516    
 252   20 -0.26233E-01 -0.10666    
   4   28  0.24449E-02 -0.25352E-01
  12   28  0.74856E-02 -0.27764E-01
  20   28  0.12968E-01 -0.32856E-01
  28   28  0.19136E-01 -0.41201E-01
  36   28  0.26104E-01 -0.53785E-01
  44   28  0.33653E-01 -0.72141E-01
  52   28  0.40774E-01 -0.98496E-01
  60   28  0.44738E-01 -0.13563    
  68   28  0.39709E-01 -0.18565    
  76   28  0.16363E-01 -0.24648    
  84   28 -0.33626E-01 -0.30770    
  92   28 -0.10926     -0.35339    
 100   28 -0.19929     -0.37164    
 108   28 -0.28861     -0.35873    
 116   28 -0.36213     -0.31852    
 124   28 -0.40851     -0.26304    
 132   28 -0.42668     -0.20832    
 140   28 -0.42485     -0.16487    
 148   28 -0.41219     -0.13481    
 156   28 -0.39440     -0.11602    
 164   28 -0.37406     -0.10567    
 172   28 -0.35202     -0.10139    
 180   28 -0.32842     -0.10145    
 188   28 -0.30307     -0.10456    
 196   28 -0.27573     -0.10973    
 204   28 -0.24621     -0.11618    
 212   28 -0.21440     -0.12321    
 220   28 -0.18029     -0.13021    
 228   28 -0.14402     -0.13664    
 236   28 -0.10587     -0.14201    
 244   28 -0.66230E-01 -0.14592    
 252   28 -0.25618E-01 -0.14808    
   4   36  0.15799E-02 -0.29396E-01
  12   36  0.47763E-02 -0.31989E-01
  20   36  0.80557E-02 -0.37399E-01
