4 4 0.007084 -0.007161
4 12 0.006675 -0.021062
4 20 0.005916 -0.033765
4 28 0.004911 -0.044664
4 36 0.003780 -0.053386
4 44 0.002633 -0.059795
4 52 0.001555 -0.063954
4 60 0.000601 -0.066067
4 68 -0.000200 -0.066417
4 76 -0.000843 -0.065324
4 84 -0.001333 -0.063101
4 92 -0.001687 -0.060039
4 100 -0.001923 -0.056393
4 108 -0.002062 -0.052377
4 116 -0.002123 -0.048167
4 124 -0.002123 -0.043901
4 132 -0.002076 -0.039686
4 140 -0.001996 -0.035602
4 148 -0.001892 -0.031705
4 156 -0.001774 -0.028032
4 164 -0.001648 -0.024606
4 172 -0.001519 -0.021434
4 180 -0.001394 -0.018518
4 188 -0.001274 -0.015849
4 196 -0.001162 -0.013412
4 204 -0.001061 -0.011189
4 212 -0.000971 -0.009157
4 220 -0.000895 -0.007290
4 228 -0.000833 -0.005562
4 236 -0.000786 -0.003944
4 244 -0.000753 -0.002406
4 252 -0.000736 -0.000918
12 4 0.021725 -0.007645
12 12 0.020430 -0.022444
12 20 0.018043 -0.035861
12 28 0.014904 -0.047228
12 36 0.011395 -0.056169
12 44 0.007864 -0.062587
12 52 0.004570 -0.066606
12 60 0.001677 -0.068489
12 68 -0.000739 -0.068570
12 76 -0.002663 -0.067201
12 84 -0.004123 -0.064718
12 92 -0.005170 -0.061422
12 100 -0.005865 -0.057572
12 108 -0.006268 -0.053382
12 116 -0.006437 -0.049024
12 124 -0.006425 -0.044635
12 132 -0.006276 -0.040317
12 140 -0.006027 -0.036145
12 148 -0.005710 -0.032174
12 156 -0.005350 -0.028438
12 164 -0.004968 -0.024956
12 172 -0.004581 -0.021737
12 180 -0.004201 -0.018778
12 188 -0.003839 -0.016071
12 196 -0.003502 -0.013601
12 204 -0.003197 -0.011347
12 212 -0.002928 -0.009286
12 220 -0.002698 -0.007394
12 228 -0.002511 -0.005642
12 236 -0.002368 -0.004001
12 244 -0.002270 -0.002441
12 252 -0.002218 -0.000931
20 4 0.037849 -0.008684
20 12 0.035454 -0.025402
20 20 0.031077 -0.040311
20 28 0.025396 -0.052614
20 36 0.019146 -0.061946
20 44 0.012957 -0.068320
20 52 0.007273 -0.071996
20 60 0.002352 -0.073371
20 68 -0.001703 -0.072878
20 76 -0.004894 -0.070937
20 84 -0.007288 -0.067923
20 92 -0.008983 -0.064156
20 100 -0.010088 -0.059899
20 108 -0.010712 -0.055363
20 116 -0.010952 -0.050716
20 124 -0.010895 -0.046083
20 132 -0.010617 -0.041561
20 140 -0.010178 -0.037218
20 148 -0.009630 -0.033101
20 156 -0.009015 -0.029240
20 164 -0.008366 -0.025650
20 172 -0.007710 -0.022336
20 180 -0.007068 -0.019294
20 188 -0.006457 -0.016512
20 196 -0.005890 -0.013975
20 204 -0.005376 -0.011660
20 212 -0.004924 -0.009543
20 220 -0.004539 -0.007599
20 228 -0.004224 -0.005799
